Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Noix de coco, amande, sèche","657,42","6,62","2,63","8,56","66,3","6,64",-,14,-,"1,89",0,0,"57,7","3,3","0,73","< 0,0033","0,4","5,01","3,93","29,3","10,8","5,33","2,22","3,3","0,71","< 0,005",0,0,"< 0,0033",0,"0,068","18,4",-,"0,67","3,46","0,3",90,"2,75",197,647,"6,8","26,6","1,26",0,0,0,"0,44","0,3",-,"1,5","0,048","0,07","0,6","0,5","0,17","16,5",0
Noix de macadamia,"718,06","7,14","1,45","8,35","72,9","4,57","1,05","8,6",-,"1,57",0,0,"11,6","57,2","1,65",0,0,0,0,"0,076","0,66","6,04","2,33",-,-,-,-,0,0,0,"0,013",85,-,"0,76","3,69",2,130,"4,13",188,368,-,5,"1,3",0,-,0,"0,54",-,-,"1,2","1,2","0,16","2,47","0,76","0,28",11,0
"Noix de macadamia, grillée, salée","699,76","7,04","1,61","9,95","70,2","4,4","4,2","9,5",-,"1,7",0,0,11,"54,7","1,38",0,0,0,0,"0,075","0,67","5,93","2,28",-,-,-,-,0,0,0,"0,9",70,-,"0,57","2,65",-,118,"3,04",198,363,-,360,"1,29",0,0,0,"0,57",0,-,"0,7","0,71","0,087","2,27","0,6","0,36",10,0
Noix de muscade,"461,90","5,3","6,22","28,5","36,3","2,99",-,"20,8",0,"2,32",0,0,"25,9","3,22","0,35",0,0,0,0,"0,37","22,8","2,26","0,17",-,-,-,-,0,0,0,"0,04",184,-,"1,03","3,04",-,183,"2,9",213,350,"1,6",16,"2,15",0,28,0,0,0,-,3,"0,35","0,057","1,3",-,"0,16",76,0
Noix de pécan,"712,76","9,57","2,73","5,27","72,6","3,64","0,46","8,33",-,"1,5",0,0,"6,62","40,6","23,1",0,0,0,0,0,0,"4,44","1,77","40,6","22,1","1,01",0,0,0,0,"0,0025","69,8",-,"1,2","2,57",2,123,"4,27",277,409,"5,2",1,"4,61",0,29,0,"1,4","3,5",-,"0,97","0,59","0,12","1,17","0,82","0,2","19,8",0
"Noix de pécan, salées","717,80","10,2",-,5,73,"4,9","0,1",3,-,1,0,0,"7,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Noix du Brésil,"680,62","14,8","2,76","5,28","66,7","2,33","0,25","6,4",-,"4,04",0,0,"16,2","21,8","25,6",0,0,0,0,0,"0,046","9,25","6,16","19,5","25,2","0,059",-,0,0,0,"0,0075",150,-,"1,75","2,47","0,05",367,2,658,591,103,3,"4,13",0,0,0,"5,33",0,-,"0,7","0,87","0,035","0,25","0,21","0,1",13,0
"Noix, fraîche","681,10","14,3","2,8","11,3","64,3",-,-,"5,6",-,"1,7",0,0,"5,44","11,8","43,9",0,0,0,0,0,0,"4,03","1,31","11,6","36,4","7,45",-,0,0,0,"0,01","83,1",-,"1,34","2,1","0,5",144,"2,1",379,471,"1,7",4,"2,7",0,36,0,"1,5",-,-,"1,3","0,44","0,16","1,1","0,9","0,74",66,0
"Noix, séchée, cerneaux","689,22",14,4,"6,88","67,3",3,"< 0,35","6,7",-,"1,81",0,0,"6,45","14,1","43,6","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,04","4,66","1,64","13,4","36,1","7,5","< 0,01","< 0,01","< 0,01",0,"< 0,13",75,"35,1","1,1","2,2",< 20,140,"2,9",360,430,< 20,< 5,"2,7",0,"20,7","< 0,25","1,67","2,4",-,"0,77","0,3","0,05","0,4","0,67","0,19",120,"< 0,08"
"Nori (Porphyra sp.), séchée ou déshydratée","182,67","31,5","6,54","10,5","1,63",-,-,"36,3",-,"13,6",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,96",318,-,"1,06","37,2",5100,486,"3,94",518,1730,"51,2",1980,"4,52",-,-,"0,56","2,87",-,-,"57,3","0,58","1,91","5,82","0,25","0,53","21,7","38,8"
Nougat glacé,"257,32","4,83","52,3","25,3","15,2","20,5","< 0,35","2,76",0,"0,74",0,0,11,"0,026","2,19","0,16","0,11","0,079","0,17","0,2","0,64","2,34","0,72",-,"1,96","0,026","< 0,00028","< 0,00028","< 0,00028","22,7","0,13",95,200,"0,15","0,54",< 20,43,"0,29",120,230,< 20,"49,6","0,47","62,2",27,"< 0,25","3,18","1,22",-,"< 0,5","0,036","0,16","0,25","0,52","0,051","17,5","0,24"
Nougat ou touron,"509,80","8,25","1,95","62,5","25,2",58,0,"0,7",0,"1,7",0,-,"1,61","17,6","4,84",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0025",173,-,"0,31","1,4",-,54,"0,61",265,377,-,1,"1,23",0,0,0,"12,4",-,-,0,"0,16","0,25","1,2",-,"0,08",26,-
"Nouilles asiatiques aromatisées, déshydratées","355,80","11,2",-,71,3,"0,5",-,4,0,"0,99",0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,99",-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nouilles asiatiques cuites, aromatisées","97,38","4,78","73,4","9,89","4,3",2,-,"6,3",0,"1,33",0,0,"0,5","1,26","2,35",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,2",-,-,-,-,-,-,-,-,-,-,470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nouilles asiatiques cuites, nature, non salées","161,70","3,5","66,9","21,4","6,9",-,"19,8",1,0,"0,34",0,0,"3,16","2,67","0,77","< 0,0033","< 0,0033","0,0066","< 0,0033","0,02","0,073","2,74","0,28","2,59","0,75","0,02","< 0,0033","< 0,0033","< 0,0033",-,"0,23",11,113,"0,04","0,32",< 20,"9,1","0,24",43,26,< 50,"93,6","0,19",-,< 10,-,-,"< 0,8",-,-,"0,023","< 0,01","0,1","0,91","< 0,01",< 5,"0,073"
Nouilles sautées/poêlées aux crevettes,"100,12","4,88","76,4","12,5","3,4","1,7","10,4","1,6",0,"1,18",0,0,"1,16","0,76","1,18","< 0,01","< 0,01","0,08","0,06","0,4","0,15","0,35","0,12","0,76","1,09","0,05","0,01","0,01","0,02","25,7","0,84",22,491,"0,07","0,5",< 20,19,"0,19",54,100,< 20,334,"0,42",< 21,380,"< 0,25","0,68","7,53",-,"< 0,5","0,053","0,35","0,37","0,18","0,056",77,"0,21"
"Oeuf de caille, cru","153,94","13,1","74,4","0,41","11,1","0,4",-,0,0,"1,1",0,0,"3,56","4,32","1,32",0,0,0,0,0,"0,053","2,67","0,84",-,-,-,-,0,0,844,"0,35",64,-,"0,062","3,65",-,13,"0,038",226,132,-,141,"1,47",155,11,"1,4","1,08","0,3",-,0,"0,13","0,79","0,15","1,76","0,15",66,"1,58"
"Oeuf de cane, cru","181,44",13,"70,8","1,31","13,8","0,93",0,0,0,"1,12",0,0,"3,68","6,53","1,22",0,0,0,0,0,"0,054",3,"0,63","6,09","0,56","0,1","0,32",0,0,884,"0,37",64,-,"0,062","3,85",-,17,"0,038",220,222,-,146,"1,41",192,14,"1,7","1,34","0,4",-,0,"0,16","0,4","0,2","1,86","0,25",80,"5,4"
"Oeuf de dinde, cru","166,42","13,7","72,5","1,13","11,9",1,0,0,0,"0,81",0,0,"3,63","4,57","1,66",0,0,0,0,0,"0,036","2,72","0,88",-,-,-,-,-,-,933,"0,38",99,-,"0,062","4,1",-,13,"0,038",170,142,-,151,"1,58",166,84,"1,75","1,11",-,-,0,"0,11","0,47","0,024","1,89","0,13",71,"1,69"
"Oeuf d'oie, cru","180,50","13,8","70,4","1,4","13,3","0,94",0,0,0,"1,09",0,0,"3,6","5,75","1,67",0,0,0,0,0,"0,05","2,85","0,7","5,35","0,68","0,55","0,28",0,0,852,"0,35",60,-,"0,062","3,64",-,16,"0,038",208,210,-,138,"1,33",185,13,"1,7","1,29","0,4",-,0,"0,15","0,38","0,19","1,76","0,24",76,"5,1"
"Oeuf, à la coque","141,50","12,2",76,"1,08","9,82","0,77",0,0,0,"0,91",0,0,"3,11","4,42","1,28",-,-,-,-,-,"0,031","2,13","0,65","3,73","1,06","0,044","0,11",-,"0,057",222,"0,2",150,-,"< 0,1","1,9","50,4","11,7","< 0,1",155,164,"23,8",150,"0,93",132,11,"1,28","2,17",-,-,"< 0,5","0,081","0,41","0,06","1,34","0,06",57,"0,96"
"Oeuf, au plat, sans matière grasse","146,72","13,8","74,6","1,01","9,72",-,-,0,0,"0,95",0,0,"2,71","3,43",-,-,-,-,-,-,"0,032","2,03","0,63","3,43","1,25","0,056","0,13",-,"0,069",736,"0,4",-,243,-,"2,6","54,5",-,-,-,-,-,159,-,115,-,"0,74",-,-,-,-,-,-,-,-,-,-,-
"Oeuf, blanc (blanc d'oeuf), cru","48,31","10,8","87,6","0,85","0,19","0,71",0,0,0,"0,62",0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,42",6,-,"0,023","0,05","1,9",11,"0,011",15,163,6,166,"0,03",0,0,0,0,0,"0,9",0,"0,004","0,44","0,093","0,2","0,0035","5,5","0,09"
"Oeuf, blanc (blanc d'oeuf), cuit","47,21","10,3","87,8","1,12","0,17","0,7",0,0,0,"0,6",0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,39","6,67",-,"0,023","0,067",-,"9,67","0,011","14,7",147,"6,1",155,"0,025",0,0,0,0,-,-,0,"0,006","0,35","0,078","0,18","0,007","7,9","0,056"
"Oeuf, blanc (blanc d'oeuf), en poudre","355,72","81,2","5,8","7,73",0,"5,4",-,0,0,"5,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,2",62,-,"0,11","0,15",-,88,"0,007",111,1130,-,1280,"0,1",0,0,0,0,0,-,0,"0,005","2,53","0,87","0,78","0,036",18,"0,18"
"Oeuf, brouillé, avec matière grasse","145,44","9,99","76,4","1,62",11,"1,43",-,0,0,"1,01",0,0,"3,33","4,44","2,43","0,019","0,016","0,019",-,"0,017","0,057","2,17","0,93",-,-,-,-,0,"0,043",277,"0,48",66,-,"0,059","1,31",52,11,"0,022",165,132,"22,5",145,"1,04",159,26,"1,8","0,98",4,-,0,"0,04","0,38","0,076","1,22","0,13",36,"0,76"
"Oeuf, cru","140,35","12,7","76,3","0,27","9,83","0,27",0,0,0,"0,96",0,0,"2,64","3,66","1,65","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,024","1,96","0,65","3,51","1,38","0,061","0,12",0,"0,09",398,"0,31","76,8",-,"0,055","1,88",21,11,"0,027",204,134,"< 2,58",124,"1,01",182,0,"1,88","1,43","0,3",-,0,"0,055","0,45","0,063","1,57","0,15",34,"1,45"
"Oeuf, dur","133,66","13,5","76,5","0,52","8,62","0,52",-,0,0,"0,88",0,0,"2,55","3,57","1,03",0,0,"0,0026","0,0026","0,0033","0,029","2,01","0,5","3,57","0,88","0,038","0,076","0,0031","0,035",355,"0,31",41,182,"0,068","1,72","49,7",14,"0,031",172,120,"7,01",123,"1,27","61,5",11,"1,12","1,03","0,3",-,0,"0,066","0,51","0,064","1,4","0,12",44,"1,11"
"Oeuf, en poudre","582,04","47,9","3,39","3,11",42,"0,3",0,0,0,"3,55",0,0,"13,1","16,1","6,48",0,0,0,0,0,"0,14","9,48","3,39","14,1","4,6","0,11","0,57","0,28","0,18",1670,"1,25",234,-,"0,2","5,56",21,38,"0,058",730,517,"87,4",502,"4,22",210,0,"3,1","1,11","1,2",-,0,"0,19","1,76","0,32","5,73","0,44",145,"3,67"
"Oeuf, jaune (jaune d'oeuf), cru","306,66","15,5",55,"1,09","26,7","0,56",0,0,0,"1,68",0,0,"8,47","11,9","4,07",0,0,"0,009","0,009","0,009","0,091","6,04","1,73","10,4","3,28","0,15","0,37","0,01","0,25",939,"0,048","50,2","0,3","< 0,1","0,7",175,"1,5","< 0,1",141,43,"83,5","19,1","1,1",336,88,2,"3,89","0,7","32,1",0,"0,17","0,38","< 0,16","2,87","0,29",159,"3,03"
"Oeuf, jaune (jaune d'oeuf), cuit","340,14",16,"50,3","1,31","30,1","0,55",0,0,0,"2,24",0,0,"8,49","12,1","4,45",-,-,-,-,-,"0,077","6,23","1,95","11,2","3,51","0,17","0,45",-,"0,24",612,"0,035","76,4","0,2","0,15","0,95",192,"4,5","< 0,1",121,"58,6","76,4",14,"1,4",263,106,"2,11",5,-,-,0,"0,17","0,39","< 0,16","4,54","0,3",166,"2,43"
"Oeuf, jaune (jaune d'oeuf), en poudre","660,48","34,1","2,87","2,77",57,"0,07",-,0,0,"3,35",0,0,"17,6","22,3","8,55",0,0,0,0,0,"0,18","12,9","4,43","19,5","6,4","0,15","0,83","0,2","0,24",2320,"0,37",296,-,"0,012","7,46",-,"19,5","0,19",980,254,-,149,"6,33",904,0,"11,4","4,81","1,5",-,0,"0,34","1,57","0,089","8,42","0,75",227,"5,68"
"Oeuf, poché","138,79","12,5","75,7","0,89","9,47","0,37",-,0,0,"1,46",0,0,"2,99","4,04","1,49","0,0039",0,"0,0039",-,0,"0,019","2,18","0,79",-,-,-,-,0,"0,058",370,"0,2","68,2",-,"0,069","1,75",52,"10,8","0,03",197,138,"7,68","79,3","1,1",159,0,2,"1,04","0,3",-,0,"0,032","0,39","0,063","1,53","0,14",35,"0,71"
"Oeufs de cabillaud, fumés, semi-conserve","145,80","26,9",67,"0,1","4,2",-,-,0,0,"1,9",0,0,"0,56","0,65","1,31",-,-,0,0,0,0,"0,47","0,093","0,37","0,093",0,-,"0,37","0,84",-,"0,73","8,2",-,"0,082","1,11",230,"12,8","0,13",453,280,-,290,"4,3","8,7",-,"27,2",-,-,-,-,-,-,-,-,-,-,-
"Oeufs de lompe, semi-conserve","111,03","10,4",76,1,"7,27",0,0,0,0,"5,12",0,0,"1,97","1,42","3,52","< 0,0036","< 0,0036","< 0,0036","< 0,0036","< 0,0036","0,16","1,2","0,3","1,17","0,078","0,06","0,046","1,36","1,77",253,"4,87","11,6",3000,"< 0,1","0,4",60,3,"< 0,1",83,"68,4",8,1950,"0,8",13,0,"2,65","1,89","0,6",-,"< 0,5","< 0,04","0,071","< 0,16","0,28","0,08",25,"5,45"
"Oeufs de saumon, semi-conserve","222,10","30,4",49,"1,5","10,5","< 0,2",-,0,0,"3,42",0,0,"2,05","3,4","4,51","< 0,01","< 0,01","< 0,01","< 0,01","0,01","0,46","1,13","0,36","1,95","0,12","0,11","0,1","1,66","1,84",541,"2,34","5,6",1710,"< 0,01","0,08",330,"8,1","0,09","2,6",94,< 20,936,"< 0,05",393,-,27,"7,52","< 0,8",-,"< 0,5","0,35","0,5","0,33","1,68","0,11",124,"48,6"
"Oie, viande crue","154,48","22,6","68,3",0,"7,12",-,-,0,0,"1,1",0,0,"2,79","1,85","0,9",-,-,-,0,"0,03","0,03","1,47","0,92","1,58","0,8","0,1",0,0,0,84,"0,2",13,-,"0,31","2,57",-,24,"0,024",312,368,24,78,"2,34",21,-,1,0,0,31,"7,2","0,13","0,38","4,28","1,97","0,64",21,"0,49"
"Oie, viande et peau, crue","365,20","15,7","49,7",0,"33,6",0,-,0,0,"0,89",0,0,"9,78","17,8","3,76",0,0,0,0,"0,03","0,17","6,95","2,33","16,7","3,34","0,21",0,0,0,80,"0,18",12,-,"0,2","2,5","1,2",21,"0,02",234,312,24,71,"1,54","23,5",-,1,0,0,-,"4,2","0,11","0,3","5,8","1,29","0,49","7,5","0,34"
"Oie, viande et peau, rôtie/cuite au four","297,90","25,2",52,0,"21,9",0,-,0,0,"0,97",0,0,"6,87","10,3","2,52",0,0,0,0,"0,04","0,11","4,53","1,81",-,-,-,-,0,0,91,"0,18",13,-,"0,26","2,83",-,22,"0,023",270,329,-,70,"2,62",21,0,"0,1","1,74","5,1",-,0,"0,077","0,32","4,17","1,53","0,37",2,"0,41"
"Oie, viande, rôtie/cuite au four","230,30",29,"54,6",0,"12,7",0,-,0,0,"1,14",0,0,-,-,-,-,-,-,0,"0,04","0,05","2,61","1,4",-,-,-,-,0,0,96,"0,25",14,-,"0,28","2,87",4,25,"0,024",309,388,-,76,"3,17",12,0,"0,1",-,-,-,0,"0,092","0,39","4,08","1,83","0,47",12,"0,49"
Oignon au vinaigre,"14,04","0,56",93,"2,5","0,2","1,98",-,"1,8",0,"2,54",0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,36",24,-,-,"0,4",-,12,-,29,110,-,908,-,-,-,-,-,-,-,7,"0,03","0,03","0,2",-,"0,22","20,7",0
"Oignon, cru","34,98","1,1","89,6","6,25","0,62","4,8","< 0,5","1,7",-,"0,48",0,"0,21","0,2","0,021","0,066",0,0,0,0,"0,002","0,002","0,14","0,029","0,021","0,062","0,0031",0,0,0,0,"0,098",25,61,"< 0,0001","0,00019",< 10,9,"0,1",37,190,"2,3",39,"0,23",0,< 50,0,"0,045","0,35",-,"3,9","< 0,05","< 0,05","< 0,05","0,15","0,1","29,6",0
"Oignon, cuit","31,80","1,3","90,4","6,2","0,2",4,"< 0,5","1,4",-,"0,5",0,0,"0,024","0,02","0,056",0,0,0,0,0,"0,001","0,021","0,0015",-,-,-,-,0,0,0,"0,021","29,2",-,"0,077","0,21",1,13,"0,12",44,220,< 10,"8,4","0,19",0,< 50,0,"0,015","0,4",-,"2,1","< 0,05","< 0,05","< 0,05","0,13","0,09",21,0
"Oignon, séché","339,94","8,95","3,93",75,"0,46","37,4",-,"9,2",-,"2,45",0,0,"0,078","0,064","0,18",0,0,0,0,0,"0,002","0,069","0,006",-,-,-,-,0,0,0,"0,053",257,-,"0,42","1,55",-,92,"1,39",303,1620,-,170,"1,89",0,11,0,"0,18","3,8",-,75,"0,5","0,1","0,99","1,38","1,6",166,0
"Oignon, surgelé, cru","26,96","1,08","91,1","5,39","0,12","4,59",-,"2,65",-,"0,34",0,-,"0,017","0,009","0,031",0,0,0,0,0,0,"0,016","0,00097","0,009","0,027","0,0041",0,0,0,0,"0,02","26,5",-,"0,035","0,4",-,"8,5","0,1","22,5",133,-,"9,43","0,095",0,1,0,"0,045","0,4",-,"5,65","0,028","0,026","0,16","0,1","0,084",19,0
"Olive noire, à l'huile (à la grecque)","308,46","2,19","45,7",0,"33,3",-,-,"11,6",0,"9,55",0,0,"4,02","22,6","5,06","< 0,016","< 0,016","< 0,016","< 0,016","< 0,016","< 0,016","3,23","0,79","21,6","4,74","0,32","< 0,016","< 0,016","< 0,016","< 0,7","8,45",110,4610,"0,27","1,7",< 20,29,"0,28",60,320,< 50,3380,"0,62",0,"12,2",0,"2,57",-,-,"0,62","0,058","0,05","0,19","0,17","0,048","5,83","0,028"
"Olive noire, en saumure","160,32","1,38","74,9",0,"17,2",0,-,"6,2",0,"2,21",0,-,"2,08","10,2","1,51","< 0,0069","< 0,0069","< 0,0069","< 0,0069","< 0,0069","< 0,0069","1,71","0,29","9,7","1,36","0,14","< 0,0069","< 0,0069","< 0,0069","< 0,7","1,77",80,1070,"0,18","8,5",< 20,16,"0,07","7,9",19,< 50,706,"0,14",0,265,0,"6,1","1,4",-,"< 0,5","0,017","< 0,01","< 0,1","0,038","0,025",< 5,0
"Olive verte, en saumure","139,72","1,25","77,6","0,38","14,8","0,33","< 0,1","5,2",0,"3,13",0,-,"2,01","8,8","1,03","< 0,0059","< 0,0059","< 0,0059","< 0,0059","< 0,0059","< 0,0059","1,69","0,25","8,24","0,91","0,12","< 0,0059","< 0,0059","< 0,0059",1,"2,78",64,1620,"0,12","0,17",< 20,12,"0,03","5,8",35,< 50,1110,"0,07",0,269,0,"5,21","1,4",-,"0,67","< 0,01","< 0,01","< 0,1","0,031","0,015",< 5,0
"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","147,60","2,09",75,"0,61","15,2","< 0,4",-,"4,33",0,"3,34",0,-,"2,63","10,3","1,59",-,-,-,-,-,"0,0073","2,14","0,39","10,3","1,09","0,1",-,-,-,"1,4","2,78","66,8",1880,"0,23","0,3","27,7","11,2","< 0,1","14,8","32,9",< 5,1110,"0,11",< 2,-,"< 0,5","4,18",-,-,"38,6","< 0,04","0,021","0,11","< 0,08","< 0,04","13,8","0,08"
"Omble chevalier, cru","103,50","19,8","77,6",0,"2,7",0,-,0,0,"1,2",0,0,"2,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,"0,14","8,8",-,-,"0,49",-,30,-,260,370,16,"57,5","0,67",-,-,9,-,0,-,0,"0,16","0,09",-,-,"0,37",-,-
Omelette au fromage,"257,86","17,7","58,1","3,34","19,3","0,5",0,0,0,"1,82",0,0,"10,5","6,08","1,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,"0,49",-,-,"0,072","1,21","44,1","23,1","0,052",367,107,"9,8",194,"2,41",176,64,"1,68","0,93",-,-,0,"0,058","0,34","0,08","0,86","0,1","29,5","1,49"
Omelette aux champignons,"126,12","8,09","78,8","2,74","9,2",1,0,"0,3",0,"0,84",0,0,"2,56","3,78","1,77",-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,"0,27",58,-,"0,14","1,39","37,1","10,8","0,04",143,187,"9,4",109,"0,9",106,25,"1,12","0,94",-,-,-,"0,069","0,36","1,13","1,33","0,12","39,1","0,78"
Omelette aux fines herbes,"147,44","9,5","75,9","2,16","11,2","0,7",0,"0,4",0,"0,9",0,0,"3,1","4,61","2,13",-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,"0,34",101,-,"0,068","1,85","44,8",14,"0,23",149,186,"10,3",134,"0,99",129,-,"1,36","1,4",-,-,-,"0,072","0,32","0,23","1,12","0,12","61,2","0,93"
Omelette aux lardons,"207,72","12,5",65,"1,63","16,8","1,06",0,0,0,2,0,0,"6,41","6,55","2,58",-,-,-,-,-,-,-,-,-,-,-,-,-,-,273,"1,5","58,4",-,"0,057","1,39",40,"14,1","0,034",164,256,12,602,"1,34",106,"25,2","1,12","0,98",-,-,0,"0,22","0,29","2,11","1,12","0,21","30,1","0,96"
Omelette norvégienne,"208,42","2,68","54,3","34,8","6,5","32,7",2,"< 0,5",0,"0,59",0,0,"3,9","1,65","0,38","0,12","0,08","0,14","0,18","0,72","0,61","1,48","0,48","1,47","0,34","0,02","0,02","< 0,01","< 0,01","52,5","0,15",61,110,"0,03","0,28",20,11,"0,06",71,160,< 20,"58,3","0,23","36,3","7,62","< 0,25","0,41","0,84",-,"< 0,5","0,036","0,16","< 0,1","0,37","0,034","44,3","0,34"
"Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen)","167,42","9,86","70,9","5,22","11,9","0,87",0,"0,63",0,"1,43",0,0,"4,34","4,14","2,26",,,,,,,,,,,,,,,261,"0,73",,,"0,095","1,39","40,4","15,1","0,062",207,181,"10,2",280,"1,4",127,"36,6","1,29","0,99",,,,"0,1","0,33","0,97","1,14","0,13",37,"1,02"
"Orange, pulpe, crue","39,16","1,06","86,9","7,92","0,36","7,92",-,"2,2",-,"0,42",0,"1,13","0,067","0,075","0,13",0,0,0,0,0,0,"0,051","0,015","0,075","0,093","0,037",-,0,0,0,"0,0031","29,7",-,"0,035","0,089","0,3","12,4","0,029","18,1",151,< 10,"1,25","0,066",0,71,0,"0,37",0,-,57,"0,087","0,036","0,29","0,22","0,071","38,1",0
Oreille de porc demi-sel,"228,30","22,5","61,3","0,6","15,1",0,-,0,0,"0,6",0,0,"5,39","6,86","1,61",0,0,0,0,"0,01","0,2","3,38","1,8",-,-,-,-,0,0,82,"0,48",21,-,"0,006","2,4",-,7,"0,012",41,55,-,191,"0,19",0,-,-,-,-,-,0,"0,08","0,11","0,78","0,068","0,02",0,"0,07"
"Orge entière, crue","289,50",11,"9,44","56,2","2,3","0,8","52,2","17,3",0,"2,29",0,0,"0,48","0,3","1,11",0,0,0,0,"0,006","0,0072","0,39","0,017",-,"0,92","0,073",-,0,0,0,"0,03",33,110,"0,5","3,6",-,133,"1,94",264,452,"6,15",12,"2,77",0,13,0,"0,57","2,2",-,0,"0,65","0,29","4,6","0,28","0,32",19,0
"Orge perlée, bouilli/cuite à l'eau, non salée","110,60","2,26","68,8","24,4","0,44","0,28",-,"3,8",0,"0,27",0,0,"0,093","0,057","0,21",0,0,0,0,"0,001","0,002","0,079","0,003",-,-,-,-,0,0,0,"0,0075",11,-,"0,11","1,33","0,5",22,"0,26",54,93,-,3,"0,82",0,5,0,"0,01","0,8",-,0,"0,083","0,062","2,06","0,14","0,12",16,0
"Orge perlée, crue","324,48","9,91","10,1","68,6","1,16","0,8",-,"9,1",0,"1,11",0,0,"0,24","0,15","0,56",0,0,0,0,"0,003","0,006","0,21","0,008",-,-,-,-,0,0,0,"0,023",29,-,"0,42","2,5",-,79,"1,32",221,280,-,9,"2,13",0,13,0,"0,02","2,2",-,0,"0,19","0,11","4,6","0,28","0,26",23,0
"Origan, séché","180,12",9,"9,93","26,4","4,28","4,09",-,"42,5",0,"7,87",0,0,"1,55","0,72","1,37",0,0,0,"0,004","0,25","0,004","0,79","0,51","0,71",-,"0,62",-,0,0,0,"0,063",1600,-,"0,63","36,8",-,270,"4,99",148,1260,-,25,"2,69",0,1010,0,"18,3",622,-,"2,3","0,18","0,53","4,64","0,92","1,04",237,0
"Ormeau, cru","110,63","17,1","74,6","8,69","0,83",0,-,0,0,"1,57",0,0,"0,15","0,11","0,1",0,0,0,0,0,"0,023","0,1","0,021",-,-,-,-,"0,049",0,85,"0,47",31,-,"0,2","5,9",-,48,"0,04",154,215,-,189,"0,82",2,0,0,4,-,-,2,"0,15","0,19","1,5",3,"0,15",5,"0,73"
"Orphie commune, crue","138,39","21,3","70,1",0,"5,91",0,-,0,0,"0,96",0,0,"1,81","1,77","1,74",-,-,-,-,-,"0,26","1,31","0,24","1,32","0,26","0,064","0,025","0,25","1,14",82,"0,21",73,-,"0,2","0,73",20,"27,5","0,02",196,377,"30,9","83,5","0,77",7,-,5,"1,7",0,-,"1,5","0,012","0,063","5,75","0,8","0,9",1,2
