Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
Cocktail à base de rhum,"109,71",0,65,"22,5","2,19","22,3",0,"0,3",0,"0,14","9,9",0,"1,64","0,082","0,033",0,"0,011","0,13","0,1","0,82","0,32","0,16","0,096",-,-,-,-,0,0,0,"0,015",8,-,"0,079","0,21",-,8,"0,53",7,71,-,6,"0,13",0,1,-,"0,02","0,1",-,"4,9","0,029","0,017","0,12","0,061","0,045",12,0
Cocktail à base de whisky,"63,78",0,"69,2","15,9","0,02","15,8",-,0,0,"0,27","14,6",0,"0,003","0,001","0,006",0,0,0,0,0,0,"0,002",0,-,-,-,-,0,0,0,"0,12",46,-,"0,034","0,08",-,3,"0,007",4,4,-,47,"0,04",0,0,-,0,0,-,"0,4","0,003","0,002","0,005","0,01",0,0,0
Cocktail sans alcool (à base de jus de fruits et de sirop),"51,84","0,46","86,4","12,5",0,11,0,"0,36",0,"0,29","0,0034",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0066","12,8",-,"0,043","0,1","5,43","8,31","0,035","10,9",132,"0,36","2,12","0,034",0,75,0,1,-,-,"19,9","0,11","0,019","1,29","0,51","0,12",24,"0,38"
"Coeur de palmier, appertisé, égoutté","30,74","2,53","90,2","4,03","0,5","1,5",-,"2,32",-,"1,63",0,-,"0,13","0,1","0,2",-,-,-,-,-,-,"0,11","0,016",-,-,-,-,-,-,0,"0,97",58,-,"0,13","3,13","0,5",38,"1,39",65,177,-,316,"1,15",0,-,0,-,-,-,"7,9","0,011","0,057","0,44","0,13","0,022",39,0
"Coeur, agneau, cru","117,96","16,5","76,7","0,21","5,68","0,21",0,0,0,"0,93",0,0,"2,25","1,6","0,55",-,-,-,-,"0,02","0,13","0,86","1,16",-,-,-,-,"0,04","0,03",135,"0,22",6,-,"0,4","4,6",-,17,"0,046",175,316,-,89,"1,87",0,0,"0,51","0,48",-,-,5,"0,37","0,99","6,14","2,63","0,39",2,"10,3"
"Coeur, agneau, cuit","178,91",25,"64,2","1,93","7,91",-,-,0,0,"0,99",0,0,"3,14","2,22","0,77",-,-,-,-,"0,02","0,18","1,2","1,62",-,-,-,-,"0,06","0,04",249,"0,16",14,-,"0,61","5,52",-,24,"0,055",254,188,-,63,"3,68",0,-,-,-,-,-,7,"0,17","1,19","4,36","1,37","0,3",2,"11,2"
"Coeur, boeuf, cru","103,35","18,5",79,"0,7","2,95",0,0,0,0,"1,1",0,0,"0,74","0,56","0,61",0,0,0,0,0,"0,027","0,3","0,35","0,4","0,27","0,026",-,0,0,137,"0,2","5,48",-,"0,35","5,14","1,8",19,"0,034",213,264,"23,5","81,7","1,49",0,0,1,"0,21",0,-,2,"0,29","0,83","6,78","2,15","0,11","11,5","8,44"
"Coeur, boeuf, cuit","133,10",23,-,"0,15","4,5",0,-,0,0,"0,97",0,0,"1,81","0,89","0,39",0,0,0,0,0,"0,05","0,61","0,67",-,-,"0,012",-,0,0,142,"0,2",5,-,"0,56","6,7",3,21,"0,033",254,219,-,59,"2,3",0,0,"0,1","0,29","0,5",-,-,"0,36","1,21","6,9","1,06","0,33",5,"11,5"
"Coeur, dinde, cru","135,36","16,7","74,5","0,4","7,44",0,-,0,0,"0,99",0,0,"1,92","2,05","2,15",0,0,0,"0,004","0,024","0,06","1,2","0,58","1,8","1,76","0,093",-,"0,002","0,006",225,"0,32",18,-,"0,49","3,7",-,21,"0,1",183,179,-,129,"3,21",80,23,"0,4","0,31",0,-,3,"0,17","1,13","6,44","3,12","0,48",6,"13,3"
"Coeur, dinde, cuit","167,28","24,9","67,2",0,"7,52",0,-,0,0,"1,21",0,0,"1,9","1,67","1,83",0,0,0,"0,004","0,054","0,064","1,12","0,63","1,48","1,39","0,049",-,"0,009","0,005",359,"0,35",21,-,"0,83","6,96",-,28,"0,12",241,203,-,140,"4,6",16,0,0,"0,13",0,-,-,"0,24","1,54","7,76","1,58","0,61",8,"13,9"
"Coeur, porc, cru","108,45","17,1","77,4","0,27","4,33",0,0,0,0,"0,92",0,0,"1,08","0,94","1,3",0,0,0,0,"0,0097","0,078","0,56","0,43","0,85","0,71",0,"0,48",0,0,131,"0,2","5,15",-,"0,41","5,34","1,1",20,"0,051",187,296,"12,1","81,5","2,45",7,0,"0,51","0,42",0,-,"4,15","0,53","1,09","6,63","2,51","0,41","6,5","3,25"
